Company,User,Date,Rating,Review
e-booking,Traveller 339408,19 days,5,extent
e-booking,Traveller 339408,19 days,5,
e-booking,Traveller 72406,about 2 months,2.4,á‡á·áŸ‡á–á¸á—áŸ’á“áŸ†á–áŸá‰á‘áŸ…á”á¶á„á€á€ á‚áŸáŠá¶á€áŸ‹á¡á¶á“á á…á¶áŸ†á¡áŸá¸á„á›áŸá¸áŸá–á¸2á˜áŸ‰áŸ„á„ á áŸáá»á¢áŸ’áœá¸ áŸáŸáœá¶á€á˜áŸ’á˜á¢á“áŸ‹á™áŸ‰á¶á„á“áŸáŸ‡? á¢áŸáŸ‹á¢á¶ášá˜áŸ’á˜ááŸá“á¹á„á€á¶ášášá„á…á¶áŸ†
e-booking,Traveller 187256,about 2 months,5,
e-booking,Traveller 69494,3 months,3.2,30mn delay ğŸ™
e-booking,bogyung kim,3 months,5,
e-booking,Traveller 336655,4 months,5,Good service
e-booking,Traveller 9914,4 months,1.4,
e-booking,Traveller 330277,4 months,3.4,
e-booking,Traveller 50070,5 months,2.8,
e-booking,Traveller 280870,6 months,0.6,á¢áŸ’á“á€á”á¾á€á”ášá‚áŸ’á˜á¶á“á‘áŸ†á“á½á›áá»áŸááŸ’ášá¼áœ á”á„áŸ’á€ášá”á‰áŸ’á á¶á á¾á™á‚áŸá…áœáŸáŸ áá¶ááŸ‹á–áŸá›á“á¹á„ááœá·á€á¶áš á¢áŸ’á“á€áŠáŸ†áá¾ášá”á“áŸ’ááŸ‚á˜
e-booking,Traveller 72227,6 months,5,
e-booking,Got there in one piece,8 months,4.6,
e-booking,Traveller 318056,8 months,5,the environment is clean
e-booking,Traveller 166663,8 months,5,"All good, I slept the whole night on the way to the SR. Will travels with this company for the next trip."
e-booking,Traveller 314214,9 months,2,bad responsibility for customer
e-booking,Ethan Ek,9 months,5,good service
e-booking,Sodami,10 months,2.4,This company car always stop to take customers on the way and driver drive not good to make everyone poisoning.
e-booking,M.C,11 months,3,"The bus was ok, the driver was kind, but his driving attitude was really not comfortable cannot keep a pace always stopping and accelerating every 5 seconds. Dangerous driving attitude towards the other road users."
e-booking,Traveller 216993,11 months,2.8,
e-booking,Corinne,11 months,4.8,"The ride took longer because of heavy traffic, and the bus left Phnom Penh late. The driver drove very safely and slowly. I was very happy about that!"
e-booking,Traveller 300896,11 months,1,"driver turns casually around and drives in the opposite direction, for god knows which reason. no respect for the passengers, taking other people along the way."
e-booking,Traveller 275080,11 months,3,
e-booking,Traveller 73125,12 months,5,
e-booking,Aurore GRELIER,12 months,4.4,We had a air conditioning problem but we manage to reach Siem Reap just 30 minutes late.
e-booking,Sophat,12 months,1.2,áŸáŸáœá¶á€á˜áŸ’á˜á¢á“áŸ‹ ááŸ’á‰á»áŸ†á‡á·áŸ‡á¡á¶á“á™á”áŸ‹ ááŸ‚á˜áŸ‰á¶áŸáŸŠá¸á“ááŸ’ášá‡á¶á€áŸ‹á¢ááŸ‹ááŸ’ášá‡á¶á€áŸ‹ á á¾á™á¡á¶á“á™á”áŸ‹á‚áŸáŸá˜áŸ’ášá¶á”áŸ‹áŠáŸá€ ááŸ‚á”á¾á€áŸ’áŠáŸ… áŠáŸá€áŠá¼á…á˜áŸ’áŠáŸá…? ááŸ’á‰á»áŸ†á”á¶á“áŸá½ášá€áŸ’ášá»á˜á€á¶ášá„á¶áš á€áŸ’ášá»á˜á€á¶ášá„á¶ášáá¶á–á·á“á·ááŸ’á™á á¾á™ ááŸ‚á€áŸ’ášá»á˜á áŸŠá»á“ á¢áŸ„á™á…áŸá‰á˜á½á™á‡á¾á„áŸá·á“áŸ” á…áŸá‰á˜á½á™á‡á¾á„áŸá·á“?
e-booking,Traveller 298,12 months,1,áŸáŸáœá¶á€á˜áŸ’á˜á¢á“áŸ‹ ááŸ’á‰á»áŸ†á‡á·áŸ‡á¡á¶á“á™á”áŸ‹ ááŸ‚á˜áŸ‰á¶áŸáŸŠá¸á“ááŸ’ášá‡á¶á€áŸ‹á¢ááŸ‹ááŸ’ášá‡á¶á€áŸ‹ á á¾á™á¡á¶á“á™á”áŸ‹á‚áŸáŸá˜áŸ’ášá¶á”áŸ‹áŠáŸá€ ááŸ‚á”á¾á€áŸ’áŠáŸ… áŠáŸá€áŠá¼á…á˜áŸ’áŠáŸá…? ááŸ’á‰á»áŸ†á”á¶á“áŸá½ášá€áŸ’ášá»á˜á€á¶ášá„á¶áš á€áŸ’ášá»á˜á€á¶ášá„á¶ášáá¶á–á·á“á·ááŸ’á™á á¾á™ ááŸ‚á€áŸ’ášá»á˜á áŸŠá»á“ á¢áŸ„á™á…áŸá‰á˜á½á™á‡á¾á„áŸá·á“áŸ” á…áŸá‰á˜á½á™á‡á¾á„áŸá·á“?
e-booking,Lyheang,12 months,5,Good server for E booking
e-booking,Ruben Christensen,12 months,5,Everything vas good.
e-booking,Caroline,12 months,5,"Very happy with everything about the service! Excellent driver, felt very safe! We had plenty of short stops for snacks, drinks and toilet visits. The mini van with AC was a great transportation for a 6 hour ride. Definitely recommend!"
e-booking,Traveller 296317,12 months,4.8,
e-booking,Mao,12 months,5,
e-booking,Guest,about 1 year,1.2,Late departure and Van aircon is so hot
e-booking,phoch sreyneang,about 1 year,5,
e-booking,Sokhoeun,about 1 year,4.8,
e-booking,Christopher,about 1 year,5,"A great experience! I booked two upper beds next to each other for myself alone. The bus and the toilet were very clean. A pillow and blanket were provided, warmer clothes recommended as the air conditioning was highly effective."
e-booking,Kentinmn,about 1 year,5,Very good service! We even arrived sooner than I expected! I recommend and I would use E-Booking Express again in the future!
e-booking,Traveller 134536,about 1 year,5,
e-booking,1/1/2024,about 1 year,2.6,
e-booking,Ratha,about 1 year,1.8,Always waiting one or two persons who are late of nearly 1 hour at the end
e-booking,Traveller 173191,about 1 year,5,
e-booking,Traveller 219805,about 1 year,3.8,
e-booking,Traveller 258244,about 1 year,3,
e-booking,Traveller 249812,about 1 year,4.2,
e-booking,Traveller 79745,about 1 year,4,
e-booking,phoch sreyneang,over 1 year,5,
e-booking,phoch sreyneang,over 1 year,5,
e-booking,Traveller 45808,over 1 year,5,
e-booking,Asian Travellers,over 1 year,4,The booking process was straightforward. The boarding point & drop-off point were clear and easy to search on Google Maps. The driver and his assistant didn't speak English but were still quite friendly. The seats are clean. We had 3 stops along the road.
e-booking,Traveller 45808,over 1 year,5,
e-booking,Traveller 282907,over 1 year,0,low service and arrangements
e-booking,Traveller 1213,over 1 year,5,
e-booking,Traveller 282076,over 1 year,5,
e-booking,Traveller 50427,over 1 year,5,
e-booking,Traveller 283794,over 1 year,3.6,
e-booking,Traveller 36325,over 1 year,4,
e-booking,Traveller 282907,over 1 year,1.8,
e-booking,Traveller 275080,over 1 year,4.6,
e-booking,Traveller 275080,over 1 year,3.6,
e-booking,Khen Sokuntheara,over 1 year,4.4,
e-booking,Traveller 235025,over 1 year,4.6,
e-booking,Traveller 281794,over 1 year,5,
e-booking,Traveller 277864,over 1 year,5,
e-booking,Traveller 220631,over 1 year,5,
e-booking,Marilyn Solomon,over 1 year,2.6,"Can you check that the service I got was what I paid for. I received a call from office telling of a change to the 11.30 bus, instead of 10.30. I thought I paid for a luxury bus? It was really unsuitable for a 6 hours journey"
e-booking,Traveller 20353,over 1 year,5,
e-booking,Traveller 233756,over 1 year,3.2,
e-booking,Traveller 268855,over 1 year,5,
e-booking,Traveller 36549,over 1 year,3.6,
e-booking,Traveller 275080,over 1 year,4.4,
e-booking,Traveller 235025,over 1 year,4.4,
e-booking,Traveller 261663,over 1 year,4,
e-booking,Traveller 261663,over 1 year,4,
e-booking,Dobral Coralie,over 1 year,4.4,"Very good driver,"
e-booking,Traveller 37535,over 1 year,5,
e-booking,Traveller 261663,over 1 year,4.4,
e-booking,Eung Choumeng,over 1 year,5,Good price
e-booking,Traveller 261663,over 1 year,5,
e-booking,Traveller 261663,over 1 year,4.2,
e-booking,KK,over 1 year,3.4,Many dangerous overtakes by the driver
e-booking,KK,over 1 year,4,15 minutes delay
www-bookmebus-com-sakurabus,Traveller 332058,2 months,5,
www-bookmebus-com-sakurabus,Traveller 313880,3 months,0,I bought a ticket and arrived at the right time. There was no bus.
www-bookmebus-com-sakurabus,UlyLee,11 months,5,
